2026-07-07 18:46:15,205 | INFO | app | [6ec3d955-c544-47b3-88d3-ff1b1fee1090] HTTP GET /dev/files/test_api.py
2026-07-07 18:46:15,209 | INFO | app | [57237685-22c9-4d4d-be04-2fc093122c68] HTTP POST /dev/execute
2026-07-07 18:46:15,212 | INFO | app | [----------] Ejecutando en sandbox: python3 test_api.py
2026-07-07 18:46:15,264 | INFO | app | [69f438ee-5ac2-4efb-b319-c3cdb5504e9e] HTTP DELETE /dev/files/test_api.py
2026-07-07 18:46:18,098 | INFO | app | [----------] Detención del bridge omitida en entorno de test
2026-07-07 18:46:18,099 | INFO | app | [----------] Playwright cerrado limpiamente
2026-07-07 18:46:18,099 | INFO | app | [----------] Alfonso detenido
2026-07-07 18:46:30,337 | INFO | app | [42971560-f53c-4ce3-96d0-93aa28f0b4f2] HTTP POST /mail/send
2026-07-07 18:46:30,344 | INFO | app | [5143244f-091f-4250-a751-1e0ef84c78fd] HTTP DELETE /mail/emails/1
2026-07-07 18:46:30,349 | INFO | app | [a7a4bbe4-0c22-4d9f-91c4-ef81c6d2816d] HTTP POST /mail/emails/1/reply
2026-07-07 18:46:30,355 | INFO | app | [878552da-5cbe-4355-856f-a882205f5598] HTTP POST /mail/emails/1/forward
2026-07-07 18:46:30,361 | INFO | app | [61b17382-f61c-40a9-afb9-653772654eb9] HTTP GET /mail/emails/1/draft
2026-07-07 18:46:47,651 | INFO | app | [----------] Logs en /home/luisd/Alfonso/logs
2026-07-07 18:46:47,651 | INFO | app | [----------] Arrancando Alfonso — audio delegado al cliente local
2026-07-07 18:46:47,651 | INFO | app | [----------] Inicio del bridge omitido en entorno de test
2026-07-07 18:46:47,657 | INFO | app | [----------] Prompts de sistema precargados (chat + tool)
2026-07-07 18:46:47,657 | INFO | app | [----------] Precalentamiento de modelo omitido en entorno de test
2026-07-07 18:46:47,657 | INFO | app | [----------] Alfonso listo
2026-07-07 18:46:47,660 | INFO | app | [ebcfc831-3255-4a6f-8fe7-4d05a77c4213] HTTP GET /health
2026-07-07 18:46:47,674 | INFO | app | [8ee970f9-3f2b-4e30-8537-3b102cbd6527] HTTP GET /metrics
2026-07-07 18:46:47,681 | INFO | app | [2f12e23f-3b74-49c3-bbd9-2f14c7a5f2c8] HTTP POST /chat
2026-07-07 18:46:47,683 | INFO | app | [2f12e23f-3b74-49c3-bbd9-2f14c7a5f2c8] Solicitud /chat recibida
2026-07-07 18:46:47,683 | INFO | app | [2f12e23f-3b74-49c3-bbd9-2f14c7a5f2c8] SESSION_ID: test_sess
2026-07-07 18:46:47,683 | INFO | app | [2f12e23f-3b74-49c3-bbd9-2f14c7a5f2c8] USER MESSAGE: hola
2026-07-07 18:46:47,683 | INFO | app | [2f12e23f-3b74-49c3-bbd9-2f14c7a5f2c8] Solicitud /chat procesada con estado: chat
2026-07-07 18:46:47,684 | INFO | app | [2f12e23f-3b74-49c3-bbd9-2f14c7a5f2c8] LATENCY: 0.00s
2026-07-07 18:46:47,693 | INFO | app | [e93395b0-f04a-4502-b91d-85969a85420f] HTTP POST /chat
2026-07-07 18:46:47,704 | INFO | app | [9f0bfcad-a10c-419f-913b-b3324d96ee0d] HTTP GET /tools
2026-07-07 18:46:47,713 | INFO | app | [0d533ca2-080a-4610-8cac-36d9251c5653] HTTP GET /memory
2026-07-07 18:46:47,722 | INFO | app | [324c233c-3fae-4099-b55e-0fffae8750b0] HTTP GET /memory/test_session
2026-07-07 18:46:47,729 | INFO | app | [94946bc1-9719-43f5-9ecd-20c2649af17b] HTTP DELETE /memory/test_session
2026-07-07 18:46:47,737 | INFO | app | [c51c7674-822e-45a8-be8a-22f093502c92] HTTP POST /mail/emails/seed
2026-07-07 18:46:47,747 | INFO | app | [a18b51c8-1621-4939-aeed-444c253f420e] HTTP GET /mail/emails
2026-07-07 18:46:47,757 | INFO | app | [a5191ffc-e6dc-4470-9aa1-69da415179d2] HTTP GET /mail/emails/7
